名称,名称かな,所在地,設置位置,経度,緯度
四国がんセンターくにたち保育園,しこくがんせんたーくにたちほいくえん,愛媛県松山市南梅本町160 SCCコート南梅本1階,玄関×1,132.8415974,33.79841965
慈童保育園,じどうほいくえん,愛媛県松山市下難波甲816,玄関ロビー×1,132.7889504,33.98694556
東雲公民館,しののめこうみんかん,愛媛県松山市勝山町2丁目11-5,玄関×1,132.7758364,33.84438824
東雲小学校,しののめしょうがっこう,愛媛県松山市文京町2-1,職員室×1、体育館×1、保健室×1,132.77427,33.84949179
東雲第1児童クラブ,しののめだいいちじどうくらぶ,愛媛県松山市文京町2-1 東雲小学校内,児童クラブ内×1,132.774133,33.84967794
東雲第3児童クラブ,しののめだいさんじどうくらぶ,愛媛県松山市道後一万8-28 コーポラスたなか1階,児童クラブ内×1,132.7755108,33.84887037
東雲第2児童クラブ,しののめだいにじどうくらぶ,愛媛県松山市文京町2-2 東雲小学校内,児童クラブ内×1,132.7740049,33.85041199
東雲保育園,しののめほいくえん,愛媛県松山市東雲町7-1,事務室×1,132.7747296,33.84605715
清水公民館,しみずこうみんかん,愛媛県松山市清水町3丁目170-4,玄関ロビー×1,132.7649313,33.8527549
清水小学校,しみずしょうがっこう,愛媛県松山市清水町3丁目15,職員室×1、体育館×1、職員室×1,132.7674344,33.85193434
清水ふれあいセンター,しみずふれあいせんたー,愛媛県松山市清水町1丁目9-9,玄関ロビー×1,132.7628537,33.84880437
社会福祉法人立花会 幼保連携型認定こども園 立花こども園,しゃかいふくしほうじんたちばなかいようほれんけいがたにんていこどもえんたちばなこどもえん,愛媛県松山市立花5丁目5-5,事務室×1,132.770204,33.82778466
ジャックと豆の木園 どいだ園,じゃっくとまめのきえんどいだえん,愛媛県松山市土居田町98-1,事務室×1,132.7529072,33.82112987
小規模保育園おひさま,しょうきぼほいくえんおひさま,愛媛県松山市居相1丁目2-6,玄関ロビー×1,132.7743159,33.80939869
小規模保育事業所 ひかり,しょうきぼほいくじぎょうしょひかり,愛媛県松山市畑寺町843-1,玄関ホール×1,132.8048641,33.83908964
小規模保育所 ジャックと豆の木園 えだまつ第2,しょうきぼほいくしょじゃっくとまめのきえんえだまつだい２,愛媛県松山市枝松6丁目7-21,玄関×1,132.7858017,33.82570366
